Date,MCP
01-01-2017,2060.51
02-01-2017,2153.4
03-01-2017,2337.42
04-01-2017,2599.55
05-01-2017,2564.29
06-01-2017,2605.33
07-01-2017,2606.09
08-01-2017,2249.98
09-01-2017,2499.99
10-01-2017,2536.54
11-01-2017,2583.88
12-01-2017,2674.91
13-01-2017,2694.1
14-01-2017,2377.29
15-01-2017,2219.87
16-01-2017,2449.47
17-01-2017,2664.92
18-01-2017,2672.53
19-01-2017,2499.99
20-01-2017,2682.9
21-01-2017,2667.53
22-01-2017,2338.38
23-01-2017,2599.67
24-01-2017,2590.16
25-01-2017,2633.51
26-01-2017,2301.59
27-01-2017,2466.34
28-01-2017,2499.98
29-01-2017,2332.34
30-01-2017,2626.48
31-01-2017,2675.86
01-02-2017,2443.69
02-02-2017,2599.42
03-02-2017,2645.57
04-02-2017,2507.31
05-02-2017,2445.27
06-02-2017,2618.21
07-02-2017,2635.07
08-02-2017,2632.39
09-02-2017,2679.85
10-02-2017,2570.3
11-02-2017,2589.32
12-02-2017,2457.33
13-02-2017,2503.57
14-02-2017,2599.54
15-02-2017,2517.16
16-02-2017,2426.84
17-02-2017,2596.57
18-02-2017,2612.09
19-02-2017,2385.04
20-02-2017,2493.91
21-02-2017,2599.57
22-02-2017,2585.96
23-02-2017,2561.72
24-02-2017,2610.5
25-02-2017,2506.13
26-02-2017,2407.14
27-02-2017,2479.92
28-02-2017,2474.73
01-03-2017,2390.25
02-03-2017,2442.69
03-03-2017,2472.08
04-03-2017,2539.41
05-03-2017,2355.52
06-03-2017,2541.12
07-03-2017,2474.04
08-03-2017,2464.35
09-03-2017,2672.48
10-03-2017,2556.72
11-03-2017,2385.39
12-03-2017,2253.96
13-03-2017,1598.83
14-03-2017,2036.03
15-03-2017,2375.39
16-03-2017,2494.28
17-03-2017,2450.21
18-03-2017,2605.73
19-03-2017,2404.29
20-03-2017,2517.04
21-03-2017,2644.74
22-03-2017,2652.59
23-03-2017,2870.09
24-03-2017,2968.79
25-03-2017,2853.85
26-03-2017,2600.65
27-03-2017,2879.95
28-03-2017,2804.38
29-03-2017,2999.54
30-03-2017,3194.98
31-03-2017,2979.09
01-04-2017,2884.04
02-04-2017,2666.96
03-04-2017,2776.77
04-04-2017,2773.07
05-04-2017,2650.24
06-04-2017,2636.3
07-04-2017,2680.34
08-04-2017,2845.45
09-04-2017,2516.8
10-04-2017,2853.51
11-04-2017,2894.55
12-04-2017,2922.77
13-04-2017,2964.44
14-04-2017,2973.57
15-04-2017,2999.53
16-04-2017,2747.78
17-04-2017,2889.47
18-04-2017,2785.47
19-04-2017,2808.08
20-04-2017,2893.96
21-04-2017,2859.67
22-04-2017,2783.31
23-04-2017,2339.27
24-04-2017,2502.65
25-04-2017,2458.43
26-04-2017,2699.97
27-04-2017,2729.98
28-04-2017,2899.94
29-04-2017,2892.71
30-04-2017,2820.29
01-05-2017,2753.01
02-05-2017,2926.1
03-05-2017,3050
04-05-2017,3500
05-05-2017,3329.84
06-05-2017,3443.49
07-05-2017,2977.12
08-05-2017,3169.63
09-05-2017,2825.45
10-05-2017,2651.53
11-05-2017,2725.09
12-05-2017,3065.4
13-05-2017,3238.7
14-05-2017,2747.75
15-05-2017,3147.31
16-05-2017,2844.28
17-05-2017,2801.41
18-05-2017,2979.43
19-05-2017,2842.65
20-05-2017,2823.97
21-05-2017,2540.19
22-05-2017,3020.55
23-05-2017,2905.7
24-05-2017,3297.08
25-05-2017,3349.93
26-05-2017,3408.39
27-05-2017,3012.92
28-05-2017,2109.61
29-05-2017,2460.31
30-05-2017,2112.67
31-05-2017,2426.71
01-06-2017,2542.94
02-06-2017,2716.86
03-06-2017,3178.02
04-06-2017,3006.42
05-06-2017,3347.73
06-06-2017,3370.89
07-06-2017,2470.87
08-06-2017,2609.9
09-06-2017,2589.45
10-06-2017,2557.85
11-06-2017,2389.74
12-06-2017,2545.54
13-06-2017,2484.71
14-06-2017,2665.95
15-06-2017,2861.12
16-06-2017,3199.68
17-06-2017,2818.69
18-06-2017,2479.13
19-06-2017,2619.14
20-06-2017,2473.83
21-06-2017,2317.48
22-06-2017,2439.29
23-06-2017,2392.47
24-06-2017,2580.12
25-06-2017,2299.58
26-06-2017,2514.26
27-06-2017,2379.93
28-06-2017,2095.53
29-06-2017,1989.8
30-06-2017,1896.89
01-07-2017,2086.27
02-07-2017,1114.56
03-07-2017,1411.51
04-07-2017,1539.4
05-07-2017,2120.69
06-07-2017,2515.64
07-07-2017,2663.68
08-07-2017,2953.73
09-07-2017,2575.77
10-07-2017,2749.51
11-07-2017,2632.43
12-07-2017,2432.25
13-07-2017,2472.35
14-07-2017,2397.43
15-07-2017,2335.49
16-07-2017,2175.64
17-07-2017,2506.49
18-07-2017,2762.29
19-07-2017,2746.6
20-07-2017,3108.5
21-07-2017,2729.89
22-07-2017,2718.84
23-07-2017,2197.2
24-07-2017,2484.94
25-07-2017,2495.94
26-07-2017,2663.34
27-07-2017,2794.46
28-07-2017,2954.52
29-07-2017,3225.75
30-07-2017,2599.86
31-07-2017,3165.52
01-08-2017,3041.57
02-08-2017,2922.66
03-08-2017,2744.27
04-08-2017,2700.81
05-08-2017,3014.14
06-08-2017,2829.7
07-08-2017,3229.02
08-08-2017,3699.81
09-08-2017,3414.09
10-08-2017,3359.09
11-08-2017,3173.44
12-08-2017,2963.77
13-08-2017,2806.25
14-08-2017,3309.32
15-08-2017,2518.88
16-08-2017,2699.07
17-08-2017,3094.7
18-08-2017,3087.16
19-08-2017,3631.32
20-08-2017,3001.8
21-08-2017,3111.76
22-08-2017,3108.75
23-08-2017,3484.07
24-08-2017,3770.09
25-08-2017,3810.22
26-08-2017,3458.16
27-08-2017,2921.63
28-08-2017,3391.12
29-08-2017,2997.95
30-08-2017,2851.07
31-08-2017,2793.72
01-09-2017,2973.4
02-09-2017,2616.24
03-09-2017,2658.73
04-09-2017,3247.07
05-09-2017,3504.84
06-09-2017,3731
07-09-2017,3949.98
08-09-2017,4058.37
09-09-2017,4663.61
10-09-2017,4397.5
11-09-2017,5084.37
12-09-2017,5229.85
13-09-2017,5138.04
14-09-2017,5049.07
15-09-2017,5449.09
16-09-2017,5532.64
17-09-2017,3938.42
18-09-2017,5032.88
19-09-2017,3856.84
20-09-2017,4333.42
21-09-2017,4293.64
22-09-2017,3557.38
23-09-2017,3216.63
24-09-2017,3014.56
25-09-2017,3699.93
26-09-2017,3817.76
27-09-2017,4079.18
28-09-2017,4450.74
29-09-2017,4515.71
30-09-2017,3470.05
01-10-2017,3107.83
02-10-2017,3006.8
03-10-2017,3408.93
04-10-2017,4265.67
05-10-2017,4935.94
06-10-2017,5615.45
07-10-2017,5444.09
08-10-2017,4167.61
09-10-2017,4681
10-10-2017,3922.77
11-10-2017,3942.04
12-10-2017,4292.7
13-10-2017,5216.21
14-10-2017,5053
15-10-2017,4122.85
16-10-2017,5137.44
17-10-2017,5448.66
18-10-2017,4330.23
19-10-2017,3274.29
20-10-2017,2876.71
21-10-2017,2924.98
22-10-2017,2820.52
23-10-2017,3116.35
24-10-2017,3455.6
25-10-2017,3564.55
26-10-2017,4400.02
27-10-2017,5085.44
28-10-2017,3910.6
29-10-2017,3392.01
30-10-2017,3749.06
31-10-2017,3699.29
01-11-2017,2999.02
02-11-2017,3043.84
03-11-2017,3213.98
04-11-2017,3361.03
05-11-2017,2999.93
06-11-2017,3594.08
07-11-2017,3971.68
08-11-2017,4293.12
09-11-2017,4325.36
10-11-2017,4253.19
11-11-2017,4044.02
12-11-2017,3589.92
13-11-2017,4248.2
14-11-2017,4092.34
15-11-2017,3911.38
16-11-2017,3528.84
17-11-2017,3319.22
18-11-2017,3741.96
19-11-2017,3167.31
20-11-2017,3794.73
21-11-2017,3302.99
22-11-2017,3369.07
23-11-2017,3382.24
24-11-2017,3221.07
25-11-2017,3300.12
26-11-2017,2899.44
27-11-2017,3069.81
28-11-2017,3249
29-11-2017,3468.78
30-11-2017,3600.77
01-12-2017,2954.6
02-12-2017,3016.22
03-12-2017,2829.64
04-12-2017,3294.17
05-12-2017,3054.37
06-12-2017,2689.75
07-12-2017,2592.74
08-12-2017,2798.8
09-12-2017,2769.77
10-12-2017,2671.52
11-12-2017,3173.79
12-12-2017,3369.6
13-12-2017,3239.67
14-12-2017,3355.06
15-12-2017,3533.1
16-12-2017,3633.06
17-12-2017,3005.1
18-12-2017,3195.03
19-12-2017,3198.08
20-12-2017,2973.39
21-12-2017,2903.24
22-12-2017,2852.74
23-12-2017,2792.4
24-12-2017,2559.26
25-12-2017,2846.24
26-12-2017,2993.5
27-12-2017,2904.23
28-12-2017,2899.38
29-12-2017,2917.54
30-12-2017,3039.6
31-12-2017,3010.8
01-01-2018,3149.72
02-01-2018,2913
03-01-2018,3171.74
04-01-2018,3160.43
05-01-2018,3133.63
06-01-2018,3231.9
07-01-2018,2996.52
08-01-2018,3385.23
09-01-2018,3072.9
10-01-2018,2925.66
11-01-2018,2978.92
12-01-2018,3334.42
13-01-2018,3202.78
14-01-2018,2949.35
15-01-2018,3360.05
16-01-2018,3316.66
17-01-2018,3312.2
18-01-2018,3593.89
19-01-2018,3373.76
20-01-2018,3110.34
21-01-2018,2871.24
22-01-2018,3274.75
23-01-2018,3367.42
24-01-2018,3450.51
25-01-2018,3443.02
26-01-2018,2999.68
27-01-2018,3504.45
28-01-2018,2956.84
29-01-2018,3256.93
30-01-2018,3189.95
31-01-2018,3191.68
01-02-2018,3348.72
02-02-2018,3033.08
03-02-2018,3026.73
04-02-2018,2831.91
05-02-2018,3146.98
06-02-2018,3023.77
07-02-2018,3168.34
08-02-2018,3324.13
09-02-2018,3516.16
10-02-2018,3546.76
11-02-2018,3177.24
12-02-2018,3191.75
13-02-2018,2799.71
14-02-2018,2676.49
15-02-2018,2684.65
16-02-2018,2900
17-02-2018,3031.07
18-02-2018,2968.13
19-02-2018,3476.58
20-02-2018,3529.61
21-02-2018,3735
22-02-2018,3384.05
23-02-2018,3486.07
24-02-2018,3775.66
25-02-2018,3099.75
26-02-2018,3563.98
27-02-2018,3455.03
28-02-2018,3518.39
01-03-2018,3936.68
02-03-2018,2910.74
03-03-2018,3188.53
04-03-2018,3087.24
05-03-2018,4033.43
06-03-2018,3690.5
07-03-2018,4198.58
08-03-2018,4004.69
09-03-2018,4371.75
10-03-2018,4357.19
11-03-2018,4023
12-03-2018,4838.8
13-03-2018,4153.55
14-03-2018,4508.54
15-03-2018,4722.77
16-03-2018,4945.67
17-03-2018,4129.49
18-03-2018,3439.2
19-03-2018,3691.21
20-03-2018,3648.34
21-03-2018,4190.2
22-03-2018,4259.03
23-03-2018,3965.08
24-03-2018,3778.51
25-03-2018,3357.9
26-03-2018,3743.4
27-03-2018,3710.73
28-03-2018,4283.6
29-03-2018,4745.8
30-03-2018,4669.56
31-03-2018,4003.21
01-04-2018,3258.86
02-04-2018,3537.41
03-04-2018,3845.46
04-04-2018,4746.87
05-04-2018,5073.54
06-04-2018,4187.59
07-04-2018,4424.09
08-04-2018,3544.71
09-04-2018,3849.15
10-04-2018,3537.57
11-04-2018,3282.68
12-04-2018,3582.73
13-04-2018,3256.21
14-04-2018,3711.19
15-04-2018,3476.59
16-04-2018,4191.93
17-04-2018,3866.26
18-04-2018,4046.72
19-04-2018,4137.12
20-04-2018,4405.31
21-04-2018,4652.41
22-04-2018,4004.29
23-04-2018,4677.31
24-04-2018,4496.71
25-04-2018,4223.27
26-04-2018,4402.46
27-04-2018,4080.63
28-04-2018,3964.2
29-04-2018,3442.58
30-04-2018,3436.31
01-05-2018,2873.03
02-05-2018,3196.99
03-05-2018,3412.64
04-05-2018,3537.39
05-05-2018,3658.57
06-05-2018,3450.58
07-05-2018,3929.29
08-05-2018,4398.3
09-05-2018,4592.23
10-05-2018,4991.91
11-05-2018,5464.1
12-05-2018,5097.25
13-05-2018,4114.22
14-05-2018,4599.4
15-05-2018,4061.52
16-05-2018,4096.9
17-05-2018,4588.87
18-05-2018,5205.3
19-05-2018,5580.26
20-05-2018,6016.9
21-05-2018,6277.33
22-05-2018,6284.12
23-05-2018,6070.35
24-05-2018,5697.58
25-05-2018,5692.53
26-05-2018,4508.63
27-05-2018,3959.28
28-05-2018,4890.75
29-05-2018,5082.43
30-05-2018,4842.51
31-05-2018,4739.21
01-06-2018,5938.48
02-06-2018,4900.73
03-06-2018,3482.7
04-06-2018,3405.84
05-06-2018,3492.77
06-06-2018,3476.72
07-06-2018,3293.27
08-06-2018,3625.07
09-06-2018,3446.28
10-06-2018,2932.17
11-06-2018,2795.79
12-06-2018,3057.44
13-06-2018,2869.71
14-06-2018,3160.55
15-06-2018,3420.64
16-06-2018,3745.76
17-06-2018,3276.79
18-06-2018,3804.55
19-06-2018,4380.91
20-06-2018,4868.94
21-06-2018,5287.95
22-06-2018,5996.91
23-06-2018,5655.69
24-06-2018,3058.77
25-06-2018,3627.75
26-06-2018,3114.17
27-06-2018,2985.06
28-06-2018,3011.1
29-06-2018,2990.2
30-06-2018,2857.03
01-07-2018,2897.54
02-07-2018,3600.51
03-07-2018,3579.75
04-07-2018,3051.32
05-07-2018,2858.45
06-07-2018,3453.26
07-07-2018,3867.34
08-07-2018,3198.48
09-07-2018,4257.92
10-07-2018,4298.53
11-07-2018,3940.91
12-07-2018,3816.34
13-07-2018,3992.66
14-07-2018,4010.12
15-07-2018,3604.07
16-07-2018,3866.51
17-07-2018,3662.37
18-07-2018,3172.55
19-07-2018,3549.6
20-07-2018,3978.78
21-07-2018,3700.62
22-07-2018,2674.41
23-07-2018,2871.13
24-07-2018,3129.18
25-07-2018,3237.69
26-07-2018,3028.53
27-07-2018,2907.14
28-07-2018,3045.21
29-07-2018,2872.15
30-07-2018,3529.15
31-07-2018,3654.87
01-08-2018,3790.08
02-08-2018,3558.38
03-08-2018,3554.21
04-08-2018,3910.66
05-08-2018,3023.2
06-08-2018,3691
07-08-2018,3639.06
08-08-2018,3476.41
09-08-2018,3990.19
10-08-2018,3604.33
11-08-2018,3773.87
12-08-2018,3112.49
13-08-2018,3304.91
14-08-2018,3314.09
15-08-2018,2824.98
16-08-2018,3710.61
17-08-2018,3473.98
18-08-2018,2990.37
19-08-2018,2827.14
20-08-2018,3296.74
21-08-2018,2871.93
22-08-2018,2854.18
23-08-2018,3410.6
24-08-2018,3581.52
25-08-2018,3386.85
26-08-2018,2824.65
27-08-2018,3245.05
28-08-2018,2803.48
29-08-2018,2985.89
30-08-2018,3220
31-08-2018,3494.38
01-09-2018,2922.73
02-09-2018,2489.9
03-09-2018,2798.23
04-09-2018,3021.55
05-09-2018,3464.09
06-09-2018,3248.93
07-09-2018,3499.9
08-09-2018,3748.85
09-09-2018,3413.99
10-09-2018,4044.25
11-09-2018,4407.68
12-09-2018,4245.32
13-09-2018,4400.55
14-09-2018,5000.25
15-09-2018,5471.76
16-09-2018,5319.74
17-09-2018,6301.68
18-09-2018,6526.59
19-09-2018,5278.66
20-09-2018,5688.17
21-09-2018,6690.71
22-09-2018,4391.54
23-09-2018,3632.82
24-09-2018,4694.32
25-09-2018,4933.68
26-09-2018,6383.4
27-09-2018,7089.33
28-09-2018,6762.84
29-09-2018,6671.31
30-09-2018,4279.36
01-10-2018,7644.17
02-10-2018,5194.22
03-10-2018,7123.95
04-10-2018,7496.13
05-10-2018,7848.5
06-10-2018,8062.42
07-10-2018,5914.82
08-10-2018,8566.92
09-10-2018,8949.38
10-10-2018,5261.71
11-10-2018,7267.74
12-10-2018,5520.41
13-10-2018,5240.08
14-10-2018,4888.86
15-10-2018,5929.3
16-10-2018,5464.02
17-10-2018,5353.66
18-10-2018,4247.17
19-10-2018,4150.33
20-10-2018,4290.09
21-10-2018,4040.03
22-10-2018,6193.08
23-10-2018,6921.88
24-10-2018,5082.82
25-10-2018,6238.77
26-10-2018,5296.65
27-10-2018,5157.81
28-10-2018,4306.1
29-10-2018,5859.11
30-10-2018,4949.51
31-10-2018,5617.69
01-11-2018,4759.81
02-11-2018,5106.52
03-11-2018,4917.38
04-11-2018,4219.28
05-11-2018,4560.09
06-11-2018,3922.91
07-11-2018,3024.76
08-11-2018,2727.5
09-11-2018,3083.61
10-11-2018,3444.73
11-11-2018,3256.75
12-11-2018,3434.2
13-11-2018,3381.17
14-11-2018,3466.72
15-11-2018,3469.19
16-11-2018,3574.17
17-11-2018,3586.31
18-11-2018,3200
19-11-2018,3468.22
20-11-2018,3255.38
21-11-2018,3199.97
22-11-2018,3299.79
23-11-2018,3418.85
24-11-2018,3533.81
25-11-2018,3343.82
26-11-2018,3459.95
27-11-2018,3392.46
28-11-2018,3548.43
29-11-2018,3266.99
30-11-2018,3371.18
01-12-2018,3499.23
02-12-2018,2946.41
03-12-2018,3095.01
04-12-2018,2956.71
05-12-2018,3204.45
06-12-2018,3470.57
07-12-2018,3468.97
08-12-2018,3304.86
09-12-2018,2947.51
10-12-2018,3324.08
11-12-2018,3476.22
12-12-2018,3424.37
13-12-2018,3331.46
14-12-2018,3475.97
15-12-2018,3569.6
16-12-2018,3068.94
17-12-2018,3404.47
18-12-2018,3248.1
19-12-2018,3274.53
20-12-2018,3910.23
21-12-2018,3554.07
22-12-2018,3568.93
23-12-2018,3233.06
24-12-2018,3349.72
25-12-2018,3102.68
26-12-2018,3238.62
27-12-2018,3431.57
28-12-2018,3252.87
29-12-2018,3177.02
30-12-2018,2882.27
31-12-2018,3261.56